 person1 	rel 	person2
  Anthrax_(American_band) 	  associatedMusicalArtist 	  Nuclear_Assault
  Antonie_van_Leeuwenhoek 	  hypernym 	  Tradesman
  Anwar_Sadat 	  successor 	  Abd_El_Aziz_Muhammad_Hegazi
  Astor_Piazzolla 	  associatedBand 	  Gerry_Mulligan
  Astor_Piazzolla 	  associatedMusicalArtist 	  Gerry_Mulligan
  August_Strindberg 	  influenced 	  Miroslav_Krleža
  August_Strindberg 	  influenced 	  Lars_Norén
  Astor_Piazzolla 	  associatedBand 	  Horacio_Malvicino
  Astor_Piazzolla 	  associatedMusicalArtist 	  Horacio_Malvicino
  Ashley_Judd 	  parent 	  Naomi_Judd
  Ashley_Judd 	  relative 	  Wynonna_Judd
  Antonie_van_Leeuwenhoek 	  field 	  Biologist
  Aristid_Lindenmayer 	  hypernym 	  Biologist
  Antonio_Stradivari 	  child 	  Omobono_Stradivari
  Anton_Bruckner 	  hypernym 	  Composer
  Astor_Piazzolla 	  hypernym 	  Composer
  Arthur_Evans 	  influencedBy 	  Edward_Augustus_Freeman
  August_Strindberg 	  influencedBy 	  Emanuel_Swedenborg
  Antonio_Gramsci 	  influencedBy 	  Benedetto_Croce
  Antonio_Gramsci 	  influencedBy 	  Georges_Sorel
  Astor_Piazzolla 	  associatedBand 	  Edmundo_Rivero
  Astor_Piazzolla 	  associatedMusicalArtist 	  Edmundo_Rivero
  August_Strindberg 	  influenced 	  Ernst_Toller
  Astor_Piazzolla 	  associatedBand 	  Roberto_Goyeneche
  Astor_Piazzolla 	  associatedMusicalArtist 	  Roberto_Goyeneche
  Arnold_Bennett 	  occupation 	  Novelist
  Anwar_Sadat 	  predecessor 	  Mustafa_Khalil
  Antonio_Gramsci 	  influencedBy 	  Antonio_Labriola
  Antonio_Gramsci 	  influenced 	  Eric_Hobsbawm
  Antipater_of_Sidon 	  hypernym 	  Poet
  Antonio_Gramsci 	  influenced 	  Carlo_Rosselli
  Antonio_Gramsci 	  influenced 	  Giovanni_Arrighi
  Antonio_Gramsci 	  influenced 	  Alex_Callinicos
  August_Strindberg 	  influenced 	  Karl_Schönherr
  August_Strindberg 	  spouse 	  Harriet_Bosse
  Aurelian 	  differentFrom 	  Marcus_Aurelius
  Barry_White 	  associatedBand 	  Gloria_Scott_(singer)
  Barry_White 	  associatedMusicalArtist 	  Gloria_Scott_(singer)
  Averroes 	  influenced 	  Thomas_Aquinas
  Averroes 	  influenced 	  Maimonides
  Averroes 	  influenced 	  Boetius_of_Dacia
  Austin_Powers_(character) 	  creator 	  Mike_Myers
  Ben_Chifley 	  governorGeneral 	  William_McKell
  Ben_Chifley 	  governorGeneral 	  Prince_Henry,_Duke_of_Gloucester
  Barry_White 	  associatedBand 	  Lisa_Stansfield
  Barry_White 	  associatedMusicalArtist 	  Lisa_Stansfield
  Ben_Chifley 	  deputy 	  Frank_Forde
  Ben_Jonson 	  influenced 	  Henry_Vaughan
  Ben_Chifley 	  deputy 	  H._V._Evatt
  Barry_White 	  associatedBand 	  Gene_Page
  Barry_White 	  associatedMusicalArtist 	  Gene_Page
  August_Weismann 	  award 	  Darwin–Wallace_Medal
  Axel_Oxenstierna 	  child 	  Johan_Oxenstierna
  Barry_White 	  associatedBand 	  Danny_Pearson_(musician)
  Barry_White 	  associatedMusicalArtist 	  Danny_Pearson_(musician)
  Ben_Chifley 	  monarch 	  George_VI
  August_Strindberg 	  hypernym 	  Playwright
  Ben_Jonson 	  hypernym 	  Playwright
  Axel_Oxenstierna 	  occupation 	  Politician
  Ben_Chifley 	  profession 	  Politician
  Barry_Took 	  occupation 	  Screenwriter
  Benjamin_Netanyahu 	  predecessor 	  Shimon_Peres
  Benjamin_Netanyahu 	  president 	  Shimon_Peres
  Austin_Powers_(character) 	  portrayer 	  Tom_Cruise
  Barry_Took 	  hypernym 	  Writer
  Benjamin_Netanyahu 	  predecessor 	  Ehud_Olmert
  Benjamin_Netanyahu 	  primeMinister 	  Ehud_Olmert
  Benjamin_Netanyahu 	  successor 	  Ehud_Olmert
  Basarab_I_of_Wallachia 	  successor 	  Nicholas_Alexander_of_Wallachia
  Basarab_I_of_Wallachia 	  after 	  Nicholas_Alexander_of_Wallachia
  Basarab_I_of_Wallachia 	  issue 	  Nicholas_Alexander_of_Wallachia
  Baal 	  siblings 	  Anat
  Averroes 	  influencedBy 	  Al-Farabi
  Ava_Gardner 	  spouse 	  Artie_Shaw
  Averroes 	  region 	  Islamic_philosophy
  Averroes 	  influencedBy 	  Ibn_Zuhr
  Benjamin_Netanyahu 	  parents 	  Benzion_Netanyahu
  Ben_Elton 	  hypernym 	  Comedian
  Benjamin_Netanyahu 	  spouse 	  Sara_Netanyahu
  Benjamin_Spock 	  nationality 	  United_States
  Ben_Jonson 	  influencedBy 	  William_Camden
  Augusto_Boal 	  influencedBy 	  Bertolt_Brecht
  Ben_Chifley 	  successor 	  George_Pearce
  Benjamin_Netanyahu 	  president 	  Ezer_Weizman
  Averroes 	  influencedBy 	  Alexander_of_Aphrodisias
  Benjamin_Netanyahu 	  primeMinister 	  Ariel_Sharon
  Averroes 	  influencedBy 	  Aristotle
  Aurelian 	  hypernym 	  Emperor
  Basil_II 	  hypernym 	  Emperor
  Ava_Gardner 	  spouse 	  Frank_Sinatra
  Averroes 	  hypernym 	  Polymath
  Ben_Chifley 	  title 	  Prime_Minister_of_Australia
  Ben_Chifley 	  predecessor 	  Robert_Menzies
  Ben_Chifley 	  primeMinister 	  Robert_Menzies
  Ben_Chifley 	  successor 	  Robert_Menzies
  Barbara_McClintock 	  hypernym 	  Scientist
  Benjamin_Netanyahu 	  predecessor 	  Amir_Peretz
  Ben_Chifley 	  predecessor 	  John_Daly_(Australian_politician)
  Ben_Chifley 	  title 	  Treasurer_of_Australia
  Ben_Chifley 	  successor 	  Tony_Luchetti
  Ben_Chifley 	  spouse 	  Elizabeth_Chifley
  Aurelian 	  regent 	  Pomponius_Bassus_(consul_259_&_271)
  Ben_Chifley 	  primeMinister 	  James_Scullin
  Austin_Powers_(character) 	  relative 	  Nigel_Powers
  Austin_Powers_(character) 	  portrayer 	  Mike_Myers
  Ava_Gardner 	  spouse 	  Mickey_Rooney
  Basil_II 	  parent 	  Romanos_II
  Baal 	  symbol 	  Bull
  Basil_II 	  successor 	  Constantine_VIII
  Basil_II 	  predecessor 	  John_I_Tzimiskes
  Benjamin_Netanyahu 	  successor 	  Ehud_Barak
  Benjamin_Netanyahu 	  predecessor 	  Silvan_Shalom
  Benjamin_Netanyahu 	  successor 	  Silvan_Shalom
  Benjamin_Netanyahu 	  predecessor 	  Avigdor_Lieberman
  Benjamin_Netanyahu 	  successor 	  Avigdor_Lieberman
  Aurelian 	  predecessor 	  Quintillus
  Ben_Chifley 	  predecessor 	  Frank_Forde
  Ben_Chifley 	  primeMinister 	  Frank_Forde
  Ben_Chifley 	  predecessor 	  John_Curtin
  Ben_Chifley 	  primeMinister 	  John_Curtin
  Augustus_Pitt_Rivers 	  hypernym 	  Officer
  Ben_Chifley 	  successor 	  H._V._Evatt
  Ben_Chifley 	  predecessor 	  Arthur_Manning
  Ben_Elton 	  parent 	  Lewis_Elton
  Austin_Powers_(character) 	  spouse 	  Vanessa_Kensington
  Ben_Chifley 	  predecessor 	  Arthur_Fadden
  Ben_Chifley 	  successor 	  Arthur_Fadden
  Aurelian 	  spouse 	  Ulpia_Severina
  August_Weismann 	  hypernym 	  Biologist
  Ben_Jonson 	  title 	  Poet_Laureate_of_the_United_Kingdom
  Austin_Powers_(character) 	  relative 	  Mini-Me
  Austin_Powers_(character) 	  relative 	  Scott_Evil
  Barry_White 	  hypernym 	  Composer
  Ben_Chifley 	  predecessor 	  John_Lawson_(Australian_politician)
  Ben_Chifley 	  successor 	  John_Lawson_(Australian_politician)
  Averroes 	  sign 	  Abdelwahid_al-Marrakushi
  Aurelian 	  successor 	  Marcus_Claudius_Tacitus
  Barbara_Pym 	  hypernym 	  Novelist
  Basarab_I_of_Wallachia 	  issue 	  Theodora_of_Wallachia
  Basarab_I_of_Wallachia 	  parent 	  Thocomerius
  Basarab_I_of_Wallachia 	  predecessor 	  Thocomerius
  Basarab_I_of_Wallachia 	  before 	  Thocomerius
  Austin_Powers_(character) 	  portrayer 	  Aaron_Himelstein
  Austin_Powers_(character) 	  relative 	  Frau_Farbissina
  Benjamin_Netanyahu 	  successor 	  Tzipi_Livni
  Benjamin_Netanyahu 	  president 	  Reuven_Rivlin
  Aurelian 	  regent 	  Tetricus_I
  Bacchylides 	  hypernym 	  Poet
  Bolesław_I_the_Brave 	  sameAs 	  Bolesław_I_the_Brave
  Bill_Viola 	  birthPlace 	  United_States
  Billy_Wilder 	  differentFrom 	  William_Wilder
  Billie_Holiday 	  associatedBand 	  Ella_Fitzgerald
  Billie_Holiday 	  associatedMusicalArtist 	  Ella_Fitzgerald
  Billie_Holiday 	  associatedBand 	  Artie_Shaw
  Billie_Holiday 	  associatedMusicalArtist 	  Artie_Shaw
  Billie_Holiday 	  associatedBand 	  Sarah_Vaughan
  Billie_Holiday 	  associatedMusicalArtist 	  Sarah_Vaughan
  Bessie_Smith 	  associatedBand 	  Alberta_Hunter
  Bessie_Smith 	  associatedMusicalArtist 	  Alberta_Hunter
  Billie_Holiday 	  associatedBand 	  Lester_Young
  Billie_Holiday 	  associatedMusicalArtist 	  Lester_Young
  Billie_Holiday 	  associatedBand 	  Louis_Armstrong
  Billie_Holiday 	  associatedMusicalArtist 	  Louis_Armstrong
  Billie_Holiday 	  associatedBand 	  Carmen_McRae
  Billie_Holiday 	  associatedMusicalArtist 	  Carmen_McRae
  Bessie_Smith 	  associatedBand 	  Ma_Rainey
  Bessie_Smith 	  associatedMusicalArtist 	  Ma_Rainey
  Billie_Holiday 	  associatedBand 	  Count_Basie
  Billie_Holiday 	  associatedMusicalArtist 	  Count_Basie
  Billie_Holiday 	  associatedBand 	  Lena_Horne
  Billie_Holiday 	  associatedMusicalArtist 	  Lena_Horne
  Bessie_Smith 	  associatedBand 	  Ethel_Waters
  Bessie_Smith 	  associatedMusicalArtist 	  Ethel_Waters
  Billie_Holiday 	  associatedBand 	  Tony_Scott
  Billie_Holiday 	  associatedMusicalArtist 	  Tony_Scott
  Beyonder 	  hypernym 	  Entity
  Brad_Pitt 	  spouse 	  Jennifer_Aniston
  Billie_Holiday 	  hypernym 	  Musician
  Bo_Hansson 	  hypernym 	  Musician
  Bernardo_Bertolucci 	  occupation 	  Screenwriter
  Bob_Black 	  influencedBy 	  William_Morris
  Bob_Black 	  influencedBy 	  Fredy_Perlman
  Bob_Black 	  mainInterest 	  Hunter-gatherer
  Bob_Dole 	  successor 	  Sheila_Frahm
  Bob_Black 	  influenced 	  Peter_Gelderloos
  Bill_Viola 	  influencedBy 	  Joseph_Beuys
  Bob_Dole 	  deputy 	  Alan_K._Simpson
  Bob_Dole 	  predecessor 	  Frank_Carlson
  Bob_Dole 	  predecessor 	  Rogers_Morton
  Bob_Dole 	  predecessor 	  William_H._Avery_(politician)
  Bill_Hicks 	  hypernym 	  Comedian
  Boba_Fett 	  voice 	  Dee_Bradley_Baker
  Bob_Black 	  influencedBy 	  Max_Stirner
  Bill_Viola 	  nationality 	  United_States
  Bob_Black 	  influencedBy 	  John_Zerzan
  Bill_Viola 	  influencedBy 	  Mark_Rothko
  Bob_Dole 	  successor 	  Keith_Sebelius
  Bob_Black 	  influenced 	  Post-left_anarchy
  Bob_Black 	  philosophicalSchool 	  Post-left_anarchy
  Bob_Black 	  influenced 	  Uri_Gordon
  Bill_Viola 	  influencedBy 	  Alberto_Giacometti
  Bill_Viola 	  hypernym 	  Artist
  Bernhard_Riemann 	  doctoralAdvisor 	  Carl_Friedrich_Gauss
  Bob_Black 	  influencedBy 	  Friedrich_Nietzsche
  Bob_Dole 	  successor 	  George_H._W._Bush
  Bob_Dole 	  after 	  George_H._W._Bush
  Boba_Fett 	  creator 	  George_Lucas
  Bernhard_Riemann 	  nationality 	  Germany
  Bob_Black 	  influencedBy 	  Karl_Marx
  Bob_Dole 	  successor 	  Marvin_Minsky
  Bolesław_I_the_Brave 	  successor 	  Mieszko_II_Lambert
  Bolesław_I_the_Brave 	  parent 	  Mieszko_I_of_Poland
  Bolesław_I_the_Brave 	  predecessor 	  Mieszko_I_of_Poland
  Bob_Dole 	  predecessor 	  Robert_Byrd
  Bob_Dole 	  successor 	  Robert_Byrd
  Boba_Fett 	  portrayer 	  John_Morton_(actor)
  Boris_III_of_Bulgaria 	  parent 	  Princess_Marie_Louise_of_Bourbon-Parma
  Bob_Black 	  influenced 	  David_Graeber
  Bolesław_I_the_Brave 	  spouse 	  Judith_of_Hungary
  Boris_III_of_Bulgaria 	  issue 	  Princess_Marie_Louise_of_Bulgaria
  Bernardo_Bertolucci 	  parent 	  Attilio_Bertolucci
  Boba_Fett 	  portrayer 	  Duwayne_Dunham
  Bob_Dole 	  spouse 	  Elizabeth_Dole
  Boris_III_of_Bulgaria 	  successor 	  Simeon_Saxe-Coburg-Gotha
  Boris_III_of_Bulgaria 	  issue 	  Simeon_Saxe-Coburg-Gotha
  Beyonder 	  creator 	  Jim_Shooter
  Blake_Edwards 	  spouse 	  Julie_Andrews
  Bob_Dole 	  successor 	  Bob_Packwood
  Bob_Dole 	  alongside 	  Nancy_Kassebaum
  Boba_Fett 	  voice 	  Temuera_Morrison
  Boba_Fett 	  portrayer 	  Don_Bies
  Benny_Goodman 	  occupation 	  Bandleader
  Bob_Black 	  influencedBy 	  Charles_Fourier
  Boris_III_of_Bulgaria 	  parent 	  Ferdinand_I_of_Bulgaria
  Boris_III_of_Bulgaria 	  predecessor 	  Ferdinand_I_of_Bulgaria
  Bernardo_Bertolucci 	  occupation 	  Film_director
  Bob_Black 	  influencedBy 	  Peter_Kropotkin
  Bob_Dole 	  deputy 	  Trent_Lott
  Bob_Dole 	  successor 	  Trent_Lott
  Booker_T._Washington 	  opponent 	  W._E._B._Du_Bois
  Boba_Fett 	  portrayer 	  Jeremy_Bulloch
  Boba_Fett 	  portrayer 	  Daniel_Logan
  Boba_Fett 	  voice 	  Daniel_Logan
  Boba_Fett 	  voice 	  Don_Francks
  Bernhard_Riemann 	  influencedBy 	  Peter_Gustav_Lejeune_Dirichlet
  Bob_Black 	  influencedBy 	  Marshall_Sahlins
  Bolesław_I_the_Brave 	  spouse 	  Oda_of_Meissen
  Boba_Fett 	  voice 	  Alan_Rosenberg
  Billy_Joel 	  recordLabel 	  Artie_Ripp
  Bix_Beiderbecke 	  occupation 	  Composer
  Bob_Dole 	  predecessor 	  Russell_B._Long
  Boba_Fett 	  occupation 	  Bounty_hunter
  Boris_III_of_Bulgaria 	  spouse 	  Giovanna_of_Italy
  Bob_Dole 	  predecessor 	  Howard_Baker
  Bernhard_Riemann 	  notableStudent 	  Gustav_Roch
  Brad_Pitt 	  works 	  Brad_Pitt_filmography
  Bob_Dole 	  alongside 	  James_B._Pearson
  Bertha_von_Suttner 	  occupation 	  Novelist
  Boba_Fett 	  voice 	  Jason_Wingreen
  Boba_Fett 	  voice 	  Tom_Kane
  Brad_Pitt 	  spouse 	  Angelina_Jolie
  Boba_Fett 	  voice 	  Chris_Cox_(actor)
  Beyonder 	  creator 	  Mike_Zeck
  Boba_Fett 	  voice 	  Neil_Ross
  Boba_Fett 	  voice 	  Trevor_Devall
  Booker_T._Washington 	  spouse 	  Margaret_Murray_Washington
  Bion_of_Smyrna 	  hypernym 	  Poet
  Bob_Black 	  mainInterest 	  Refusal_of_work
  Bob_Dole 	  predecessor 	  George_J._Mitchell
  Bob_Black 	  mainInterest 	  Post-industrial_society
  Bob_Dole 	  predecessor 	  Wint_Smith
  Booker_T._Washington 	  spouse 	  Olivia_A._Davidson
  Carl_Philipp_Emanuel_Bach 	  seeAlso 	  Bach_family
  Camille_Saint-Saëns 	  sameAs 	  Camille_Saint-Saëns
  Carlo_Rubbia 	  birthPlace 	  Italy
  Bugs_Bunny 	  series 	  Looney_Tunes
  Bruce_Nauman 	  influenced 	  Greg_Colson
  Carl_Bildt 	  predecessor 	  Jan_Eliasson
  Carl_Bildt 	  successor 	  Bo_Lundgren
  Buster_Keaton 	  parent 	  Joe_Keaton
  Buster_Keaton 	  parent 	  Myra_Keaton
  Bruce_Schneier 	  citizenship 	  United_States
  Bruce_Schneier 	  residence 	  United_States
  Bugs_Bunny 	  creator 	  Ben_Hardaway
  Carl_Bildt 	  deputy 	  Bengt_Westerberg
  Bugs_Bunny 	  creator 	  Cal_Dalton
  Caratacus 	  successor 	  Claudius
  Carlo_Rubbia 	  nationality 	  Italy
  Caracalla 	  successor 	  Macrinus
  Caracalla 	  parent 	  Septimius_Severus
  Caracalla 	  predecessor 	  Septimius_Severus
  Carl_Bildt 	  spouse 	  Anna_Maria_Corazza_Bildt
  Caratacus 	  predecessor 	  Epaticcus
  Carl_Bildt 	  primeMinister 	  Fredrik_Reinfeldt
  Carlos_Menem 	  nationality 	  Argentina
  Carl_Bildt 	  predecessor 	  Ingvar_Carlsson
  Carl_Bildt 	  successor 	  Ingvar_Carlsson
  Bugs_Bunny 	  creator 	  Tex_Avery
  Cambyses_II 	  parent 	  Cyrus_the_Great
  Cambyses_II 	  predecessor 	  Cyrus_the_Great
  Byron_White 	  child 	  Nancy_White_(field_hockey)
  Cameron_Diaz 	  spouse 	  Benji_Madden
  Carl_Bildt 	  monarch 	  Carl_XVI_Gustaf_of_Sweden
  Bruce_Lee 	  spouse 	  Linda_Lee_Cadwell
  Bruce_Lee 	  child 	  Shannon_Lee
  Cambyses_II 	  successor 	  Bardiya
  Bruce_Nauman 	  influenced 	  Rachel_Whiteread
  Carlos_Menem 	  spouse 	  Cecilia_Bolocco
  Carl_Bildt 	  predecessor 	  Ulf_Adelsohn
  Buster_Keaton 	  spouse 	  Natalie_Talmadge
  Bruce_Lee 	  parent 	  Lee_Hoi-chuen
  Carlos_Menem 	  child 	  Zulema_María_Eva_Menem
  Carl_Bildt 	  successor 	  Margot_Wallström
  Carlo_Rubbia 	  award 	  Senator_for_life
  Bruce_Lee 	  child 	  Brandon_Lee
  Bugs_Bunny 	  series 	  Merrie_Melodies
  Caracalla 	  spouse 	  Fulvia_Plautilla
  Carlos_Menem 	  spouse 	  Zulema_Yoma
  Carl_Bildt 	  successor 	  Carlos_Westendorp
  Carl_Woese 	  doctoralAdvisor 	  Ernest_C._Pollard
  Carl_Woese 	  notableStudent 	  David_Stahl_(biologist)
  Bugs_Bunny 	  voice 	  Mel_Blanc
  Brian_May 	  hypernym 	  Musician
  Carl_Philipp_Emanuel_Bach 	  hypernym 	  Musician
  Caracalla 	  hypernym 	  Nickname
  Carl_Bildt 	  hypernym 	  Politician
  Carlos_Menem 	  hypernym 	  Politician
  Byron_White 	  predecessor 	  Charles_Evans_Whittaker
  Carlos_Menem 	  vicePresident 	  Eduardo_Duhalde
  Cameron_Diaz 	  before 	  Woody_Harrelson
  Byron_White 	  successor 	  Nicholas_Katzenbach
  Bruce_Lee 	  hypernym 	  Artist
  Bruce_Nauman 	  hypernym 	  Artist
  Byron_White 	  office 	  Associate_Justice_of_the_Supreme_Court_of_the_United_States
  Byron_White 	  title 	  Associate_Justice_of_the_Supreme_Court_of_the_United_States
  Bugs_Bunny 	  data 	  Chuck_Jones
  Cameron_Diaz 	  before 	  Ian_McKellen
  Cameron_Diaz 	  after 	  Kelsey_Grammer
  Carlo_Rubbia 	  hypernym 	  Physicist
  Caracalla 	  regent 	  Septimius_Severus
  Bugs_Bunny 	  voice 	  Jeff_Bergman
  Bugs_Bunny 	  voice 	  Greg_Burson
  Carl_Woese 	  hypernym 	  Microbiologist
  Brian_May 	  title 	  Chancellor_of_Liverpool_John_Moores_University
  Cameron_Diaz 	  before 	  David_Duchovny
  Cameron_Diaz 	  after 	  James_Franco
  Caracalla 	  regent 	  Publius_Septimius_Geta
  Cameron_Diaz 	  after 	  Tom_Brady
  Carlos_Menem 	  successor 	  Fernando_de_la_Rúa
  Caracalla 	  regent 	  Balbinus
  Cambyses_II 	  before 	  Cyrus_the_Great
  Byron_White 	  nominator 	  John_F._Kennedy
  Byron_White 	  president 	  John_F._Kennedy
  Caracalla 	  mother 	  Julia_Domna
  Bugs_Bunny 	  voice 	  Billy_West
  Carl_Bildt 	  title 	  Minister_for_Foreign_Affairs_(Sweden)
  Carlos_Menem 	  title 	  President_of_Argentina
  Carl_Bildt 	  title 	  Prime_Minister_of_Sweden
  Carlos_Menem 	  predecessor 	  Raúl_Alfonsín
  Bugs_Bunny 	  voice 	  Joe_Alaskey
  Cambyses_II 	  after 	  Bardiya
  Cambyses_II 	  successor 	  Bardiya
  Caracalla 	  next 	  Carausius
  Cameron_Diaz 	  after 	  Dwayne_Johnson
  Cameron_Diaz 	  before 	  Ashton_Kutcher
  Cambyses_II 	  predecessor 	  Psamtik_III
  Carlos_Menem 	  vicePresident 	  Carlos_Ruckauf
  Bugs_Bunny 	  data 	  Bob_Clampett
  Camille_Saint-Saëns 	  hypernym 	  Composer
  Carl_Orff 	  hypernym 	  Composer
  Bugs_Bunny 	  data 	  Friz_Freleng
  Bugs_Bunny 	  data 	  Robert_McKimson
  Cambyses_II 	  mother 	  Cassandane
  Carlos_Menem 	  title 	  Governor_of_La_Rioja_Province
  Byron_White 	  predecessor 	  Lawrence_Walsh
  Byron_White 	  successor 	  Ruth_Bader_Ginsburg
  Carl_Sandburg 	  hypernym 	  Poet
  Catherine_de'_Medici 	  seeAlso 	  Catherine_de'_Medici
  Cary_Grant 	  differentFrom 	  Carrie_Grant
  Cary_Grant 	  differentFrom 	  Cary_Granat
  Casimir_Funk 	  deathPlace 	  United_States
  Cesare_Zavattini 	  deathPlace 	  Italy
  Cesare_Zavattini 	  birthPlace 	  Italy
  Catherine_Parr 	  next 	  Anne_of_Denmark
  Carter_Harrison_Sr. 	  child 	  Carter_Harrison_Jr.
  Carole_Lombard 	  spouse 	  Clark_Gable
  Caroline_of_Brunswick 	  spouse 	  George_IV_of_the_United_Kingdom
  Caroline_of_Ansbach 	  parent 	  John_Frederick,_Margrave_of_Brandenburg-Ansbach
  Carol_II_of_Romania 	  predecessor 	  Michael_I_of_Romania
  Carol_II_of_Romania 	  successor 	  Michael_I_of_Romania
  Carol_II_of_Romania 	  issue 	  Michael_I_of_Romania
  Catherine_I_of_Russia 	  predecessor 	  Peter_the_Great
  Catherine_I_of_Russia 	  spouse 	  Peter_the_Great
  Casimir_IV_Jagiellon 	  issue 	  Saint_Casimir
  Cesare_Zavattini 	  occupation 	  Screenwriter
  Carter_Harrison_Jr. 	  successor 	  William_Hale_Thompson
  Casimir_IV_Jagiellon 	  predecessor 	  Władysław_III_of_Poland
  Casimir_IV_Jagiellon 	  parent 	  Władysław_II_Jagiełło
  Catherine_Deneuve 	  child 	  Chiara_Mastroianni
  Carter_Harrison_Jr. 	  successor 	  Edward_Fitzsimmons_Dunne
  Caroline_of_Ansbach 	  issue 	  Louise_of_Great_Britain
  Carter_Harrison_Jr. 	  predecessor 	  Fred_A._Busse
  Catherine_Parr 	  spouses 	  Sir_Edward_Burgh
  Catherine_Deneuve 	  partner 	  Marcello_Mastroianni
  Catherine_Parr 	  parent 	  Maud_Green
  Catherine_Deneuve 	  parent 	  Maurice_Dorléac
  Caroline_of_Brunswick 	  issue 	  Princess_Charlotte_of_Wales
  Catherine_of_Valois 	  spouse 	  Owen_Tudor
  Catherine_Deneuve 	  relation 	  Françoise_Dorléac
  Catherine_Parr 	  spouses 	  John_Neville,_3rd_Baron_Latimer
  Casimir_IV_Jagiellon 	  successor 	  Alexander_Jagiellon
  Carol_II_of_Romania 	  restingPlace 	  Romania
  Charles_Lapworth 	  award 	  Royal_Medal
  Carol_II_of_Romania 	  spouse 	  Zizi_Lambrino
  Carol_II_of_Romania 	  spouse 	  Magda_Lupescu
  Catherine_Parr 	  parent 	  Sir_Thomas_Parr
  Carol_II_of_Romania 	  issue 	  Carol_Lambrino
  Catherine_de'_Medici 	  issue 	  Claude_of_France_(1547–1575)
  Catherine_de'_Medici 	  issue 	  Elisabeth_of_Valois
  Carter_Harrison_Sr. 	  successor 	  George_Bell_Swift
  Carter_Harrison_Jr. 	  predecessor 	  George_Bell_Swift
  Carter_Harrison_Sr. 	  successor 	  George_R._Davis
  Carter_Harrison_Sr. 	  after 	  George_R._Davis
  Catherine_I_of_Russia 	  issue 	  Grand_Duchess_Anna_Petrovna_of_Russia
  Casimir_IV_Jagiellon 	  issue 	  Hedwig_Jagiellon,_Duchess_of_Bavaria
  Carter_Harrison_Sr. 	  before 	  Jasper_D._Ward
  Carter_Harrison_Sr. 	  predecessor 	  Jasper_D._Ward
  Catherine_de'_Medici 	  issue 	  Joan_of_France_(1556)
  Catherine_de'_Medici 	  issue 	  Louis_of_Valois
  Catherine_de'_Medici 	  last 	  Margaret_of_Foix
  Catherine_de'_Medici 	  issue 	  Margaret_of_Valois
  Carter_Harrison_Sr. 	  predecessor 	  Monroe_Heath
  Casimir_IV_Jagiellon 	  issue 	  Sophia_Jagiellon,_Margravine_of_Brandenburg-Ansbach
  Catherine_de'_Medici 	  issue 	  Victoria_of_France
  Champion_of_the_Universe 	  creator 	  Tom_DeFalco
  Carol_II_of_Romania 	  spouse 	  Helen_of_Greece_and_Denmark
  Caroline_of_Ansbach 	  issue 	  Princess_Mary_of_Great_Britain
  Carole_Lombard 	  spouse 	  William_Powell
  Casimir_IV_Jagiellon 	  issue 	  Barbara_Jagiellon
  Casimir_IV_Jagiellon 	  parent 	  Sophia_of_Halshany
  Catherine_of_Valois 	  issue 	  Edmund_Tudor,_1st_Earl_of_Richmond
  Catherine_de'_Medici 	  before 	  Eleanor_of_Austria
  Caroline_of_Ansbach 	  issue 	  Prince_George_William_of_Great_Britain
  Caroline_of_Ansbach 	  last 	  Prince_George_of_Denmark
  Catherine_Deneuve 	  partner 	  Roger_Vadim
  Catherine_de'_Medici 	  issue 	  Francis,_Duke_of_Anjou
  Caroline_of_Ansbach 	  issue 	  Anne,_Princess_Royal_and_Princess_of_Orange
  Caroline_of_Brunswick 	  parent 	  Charles_William_Ferdinand,_Duke_of_Brunswick-Wolfenbüttel
  Charles_K._Kao 	  doctoralAdvisor 	  Harold_Barlow
  Caroline_of_Ansbach 	  parent 	  Princess_Eleonore_Erdmuthe_of_Saxe-Eisenach
  Catherine_of_Valois 	  parent 	  Charles_VI_of_France
  Catherine_I_of_Russia 	  issue 	  Elizabeth_of_Russia
  Carol_II_of_Romania 	  parent 	  Ferdinand_I_of_Romania
  Caroline_of_Ansbach 	  issue 	  Frederick,_Prince_of_Wales
  Caroline_of_Ansbach 	  spouse 	  George_II_of_Great_Britain
  Catherine_of_Valois 	  issue 	  Henry_VI_of_England
  Catherine_of_Valois 	  spouse 	  Henry_V_of_England
  Catherine_the_Great 	  successor 	  Paul_I_of_Russia
  Catherine_the_Great 	  issue 	  Paul_I_of_Russia
  Catherine_the_Great 	  predecessor 	  Peter_III_of_Russia
  Catherine_the_Great 	  spouse 	  Peter_III_of_Russia
  Casimir_IV_Jagiellon 	  issue 	  Sigismund_I_the_Old
  Casimir_IV_Jagiellon 	  predecessor 	  Sigismund_Kęstutaitis
  Charles_K._Kao 	  award 	  Prince_Philip_Medal
  Catherine_Deneuve 	  relation 	  Benjamin_Biolay
  Caroline_of_Ansbach 	  issue 	  Prince_William,_Duke_of_Cumberland
  Casimir_Funk 	  field 	  Biochemist
  Catherine_de'_Medici 	  parent 	  Lorenzo_de'_Medici,_Duke_of_Urbino
  Catherine_Deneuve 	  partner 	  Pierre_Lescure
  Catherine_Deneuve 	  parent 	  Renée_Simonot
  Casimir_IV_Jagiellon 	  spouse 	  Elizabeth_of_Austria_(1436–1505)
  Catherine_I_of_Russia 	  successor 	  Peter_II_of_Russia
