id,type,question,answer,answer_value,statements,coefs
1425,factoid,What is the population of Maryland as of 2013?,"(5.9|6) million|5,?928,?814|5\.939 million",5 9 million,5 9 million is the population of Maryland as of 2013,46
1690,factoid,What does DEA stand for?,Drug Enforcement A(dministration|gency),Drug Enforcement Administration,Drug Enforcement Administration does DEA stand for,124
1967,factoid,What party led Australia from 1983 to 1996?,ALP|Labor,Labor,Labor  party led Australia from 1983 to 1996,57
10031,factoid,When did Maria Theresa die?,1780,1780,Maria Theresa die  in 1780 ,13
1976,factoid,What is the motto for the Boy Scouts?,Be Prepared,Be Prepared,Be Prepared is the motto for the Boy Scouts,6
1866,factoid,What part of the eye continues to grow throughout a person's life?,lens,lens,lens  part of the eye continues to grow throughout a person 's life,23
2173,factoid,"What is the ""Playboy"" logo?",bunny|rabbit,rabbit,rabbit is the `` Playboy '' logo,10
1476,factoid,Who was the Roman god of the sea?,Neptune,Neptune,Neptune  was the Roman god of the sea,48
1500,factoid,Where is Georgetown University?,"Washington,?",Washington,Georgetown University is in Washington ,14
1764,factoid,What Cuban dictator did Fidel Castro force out of power in 1958?,Batista,Batista,Batista  Cuban dictator did Fidel Castro force out of power in 1958,141
2099,factoid,What comedy team was John Cleese part of?,Monty Python('s)?,Monty Python's,Monty Python's  comedy team was John Cleese part of,56
1546,factoid,"What year was the movie ""Ole Yeller"" made?",1957,1957,1957  year was the movie `` Ole Yeller '' made,4
1729,factoid,What is the name of the airport in Amsterdam?,Schiph?ol,Schiphol,Schiphol is the name of the airport in Amsterdam,66
1844,factoid,When was the Hellenistic Age?,2nd century B.C.|2nd century B.C.|323(-58)? B.C.,2nd century B@C.,the Hellenistic Age  in 2nd century B@C. ,5
1769,factoid,Who is the owner of the St. Petersburg Times?,Poynter|Times Publishing,Times Publishing,Times Publishing is the owner of the St. Petersburg Times,2
1980,factoid,How far is the moon from Earth in miles?,"221,456( miles?)|221,662|222,000 miles|250 , 000 miles|252,711 miles|238,?900","221,662","far is the moon from Earth in miles   221,662 ",99
2334,factoid,What did Peter Minuit buy for the equivalent of $24.00?,Manhattan,Manhattan,Manhattan  24.00,0
2033,factoid,How many types of human blood are there?,four|\b4\b|eight|\b8\b|\b33\b,eight,types of human blood are there   eight many,200
1834,factoid,Which disciple received 30 pieces of silver for betraying Jesus?,Judas,Judas,Judas  disciple received 30 pieces of silver for betraying Jesus,25
1919,factoid,How big is Mars?,"diameter.*(4,?21[0-9]\s*miles|6[78][0-9][0-9]\s*(km|kilometers))|radius.*(2,?106\s*miles|3,?390\s*(km|kilometers))|3390km|3390 km|3\,389\.5 km",3390 km,Mars is  3390 km big,25
1405,factoid,How many ounces are in a gallon?,128,128,ounces are in a gallon   128 many,3
1815,factoid,What is Nicaragua's main industry?,tourism,tourism,tourism is Nicaragua 's main industry,21
2098,factoid,What player has been the home run champion of the national league seven times?,Kiner,Kiner,Kiner  player has been the home run champion of the national league seven times,12
1867,factoid,Which Italian city is home to the Cathedral of Santa Maria del Fiore or the Duomo?,Florence,Florence,Florence  Italian city is home to the Cathedral of Santa Maria del Fiore or the Duomo,65
1540,factoid,What is the deepest lake in America?,Crater|Great Slave,Great Slave,Great Slave is the deepest lake in America,43
1441,factoid,What is the coldest place on earth?,Antarctica?|South Pole|Vostok Station,Vostok Station,Vostok Station is the coldest place on earth,5
1643,factoid,Who founded Rhode Island?,Roger Williams|Williams,Williams,Williams  founded Rhode Island,2
2068,factoid,What animal is responsible for the most human deaths worldwide?,mosquito,mosquito,mosquito  animal is responsible for the most human deaths worldwide,36
2056,factoid,What band did former Red Hot Chili Peppers guitarist Dave Navarro start out with?,Jane's Addiction,Jane's Addiction,Jane's Addiction  band did former Red Hot Chili Peppers guitarist Dave Navarro start out with,41
1416,factoid,When was Wendy's founded?,1969,1969,Wendy 's founded  in 1969 ,4
2239,factoid,What prison is Charles Manson at?,Corcoran,Corcoran,Corcoran  prison is Charles Manson at,24
1568,factoid,How old was George Washington when he died?,67,67,George Washington when he died   67 old,36
2064,factoid,What country is Mt. Everest in?,Nepal,Nepal,Nepal  Everest in,76
1801,factoid,Where is the smallest bone in the body?,ear,ear,the smallest bone in the body is in ear ,29
2117,factoid,What college did Marcus Camby play for?,University of Massachusetts,University of Massachusetts,University of Massachusetts  college did Marcus Camby play for,34
1473,factoid,When was Lyndon B. Johnson born?,1908,1908,Lyndon B. Johnson born  in 1908 ,3
1513,factoid,"What is the current population in Bombay, India as of 2011?","12(.[45])? million|18(.4)? million|20(.7)? million|12,478,447|18,414,288|12\,442\,373",18>4 million,18>4 million is India as of 2011,208
1820,factoid,When is Mexico's independence?,18(10|21),1810,Mexico 's independence is in 1810 ,34
1759,factoid,"Who wrote ""Fiddler on the Roof?""",Sheldon Harnick,Sheldon Harnick,Sheldon Harnick  '',0
1618,factoid,Where is bile produced?,liver,liver,bile produced is in liver ,32
1949,factoid,What is the nickname of the British flag?,Union Jacks?,Union Jacks,Union Jacks is the nickname of the British flag,6
1674,factoid,What day did Neil Armstrong land on the moon?,"July 20\s?, 1969","July 20, 1969","July 20, 1969  day did Neil Armstrong land on the moon",15
2197,factoid,What is the name of the first unmanned space craft sent to Mars by NASA?,Viking,Viking,Viking is the name of the first unmanned space craft sent to Mars by NASA,56
2191,factoid,What city is the gateway arch located in?,St.*?Louis,St   Louis,St   Louis  city is the gateway arch located in,0
10013,factoid,What does Tardis stand for?,Time and Relative Dimension in Space,Time and Relative Dimension in Space,Time and Relative Dimension in Space does Tardis stand for,24
1475,factoid,Who was the first person to reach the south pole?,Amundsen,Amundsen,Amundsen  was the first person to reach the south pole,13
10038,factoid,When was Watt's steam engine invented?,1765|177[46]|1763 to 1775,1774,Watt 's steam engine invented  in 1774 ,45
1429,factoid,What was Andrew Jackson's wife's name?,Rachel,Rachel,Rachel  was Andrew Jackson 's wife 's name,40
1626,factoid,What is Buzz Aldrin's real first name?,Edwin,Edwin,Edwin is Buzz Aldrin 's real first name,0
2055,factoid,"What dessert is made with poached peach halves, vanilla ice cream, and raspberry sauce?",PEACH MELBA,PEACH MELBA,PEACH MELBA  and raspberry sauce,6
2266,factoid,What substance did Charles Best and Frederick Banting discover in 1922?,insulin,insulin,insulin  substance did Charles Best and Frederick Banting discover in 1922,35
1600,factoid,What automobile company makes the Spider?,Alfa Romeo|Fiat,Alfa Romeo,Alfa Romeo  automobile company makes the Spider,8
1604,factoid,What does R&B stand for?,rhythm and blues,rhythm and blues,rhythm and blues does R & B stand for,37
10021,factoid,What is the critical mass of Plutonium?,"\b(9|10)(\.[0-9]*)?\s*k(ilo)?g|11 kg \(24\.2 lbs\)\, 10\.2 cm \(4\""\) in diameter\.",9 kilog,9 kilog is the critical mass of Plutonium,9
1849,factoid,What is the nickname of Oklahoma?,Sooners?( State)?,Sooners State,Sooners State is the nickname of Oklahoma,142
1636,factoid,When was the battle of Chancellorsville fought?,1863|April 30,1863,the battle of Chancellorsville fought  in 1863 ,13
1861,factoid,Where was Bill Gates born?,Seattle|Washington|United States of America,United States of America,Bill Gates born  in United States of America ,0
2037,factoid,How did Iowa get its name?,"(Siouan|indian).*(ayuhwa|ouaouia|asleep)|the Ioway people|named after the Iowa River\, which was named for the Ioway natives living at its banks\.|The state of Iowa\, originally a territory of Wisconsin west of the Mississippi River\, was named after the Iowa River\.",the Ioway people,Iowa get its name   the Ioway people ,6
10046,factoid,Who is author of cryptonomicon?,Stephenson,Stephenson,Stephenson is author of cryptonomicon,10
1711,factoid,When was the first jet invented?,1928,1928,the first jet invented  in 1928 ,22
2057,factoid,How many children did Bob Marley have?,seven|\b7\b|11,11,children did Bob Marley have   11 many,4
1870,factoid,What country is Pretoria in?,South(\s|_)African?,South Africa,South Africa  country is Pretoria in,129
1982,factoid,What movie won the Academy Award for best picture in 1989?,Driving Miss Daisy,Driving Miss Daisy,Driving Miss Daisy  movie won the Academy Award for best picture in 1989,32
2189,factoid,What animal can go the longest without water?,kangaroo rat|Giraffe,kangaroo rat,kangaroo rat  animal can go the longest without water,5
2010,factoid,What island was Napoleon exiled to after his defeat at Waterloo?,(St\.?|Saint) Helena,Saint Helena,Saint Helena  island was Napoleon exiled to after his defeat at Waterloo,96
10012,factoid,What did James Watson and Francis Crick discover?,DNA|deoxyribonucleic,DNA,DNA  did James Watson and Francis Crick discover,159
1539,factoid,What is Ronald Reagan's favorite candy?,Jelly Belly|jelly\s?beans?,jelly bean,jelly bean is Ronald Reagan 's favorite candy,0
2038,factoid,What did Alfred Noble invent?,dynamite,dynamite,dynamite  did Alfred Noble invent,7
1660,factoid,What is Elvis Presley's middle name?,Aa?ron,Aaron,Aaron is Elvis Presley 's middle name,1
2075,factoid,What city in Louisiana was Britney Spears born in?,Kentwood,Kentwood,Kentwood  city in Louisiana was Britney Spears born in,11
2120,factoid,"What does ""CBS"" (television network) stand for?",Columbia Broadcasting System,Columbia Broadcasting System,Columbia Broadcasting System does stand for,0
1532,factoid,What is the literacy rate in Cuba?,99.8\s*(percent|%)|97\%,97%,97% is the literacy rate in Cuba,3
1985,factoid,What is the Cav's arena name?,Gund|Quicken Loans,Gund,Gund is the Cav 's arena name,43
1926,factoid,When was the U.S. capitol built?,179[03-9]|1800,1795,the U.S. capitol built  in 1795 ,1
1776,factoid,What year did the first American lighthouse open?,1716,1716,1716  year did the first American lighthouse open,1
1906,factoid,How did the disciple Peter die?,crucif.*,crucif  ,the disciple Peter die   crucif   ,35
1890,factoid,"Who is the author of the poem ""The Midnight Ride of Paul Revere?""",Longfellow,Longfellow,Longfellow is '',0
2263,factoid,How big was the Super Big Gulp sold in 7-Eleven stores in 1980?,1.2\s*l|41.*(fl oz|ounces),1'2 l,the Super Big Gulp sold in 7-Eleven stores in 1980   1'2 l big,135
10065,factoid,how much is 41+1?,\b42\b|fourty-two,42,41+1 is  42 much,0
2233,factoid,How far is a 3-point line from the basketball goal in the NBA?,"23\s*(f(ee|oo)?t|').*9\s*(in(ch)?(es)?|"")","23 '@-?*.QA56/^ VW #T70-FpN39 ""","far is a 3-point line from the basketball goal in the NBA   23 '@-?*.QA56/^ VW #T70-FpN39 "" ",44
10003,factoid,How many children did Maria Theresa have?,sixteen|\b16\b,16,children did Maria Theresa have   16 many,0
1545,factoid,What is a female rabbit called?,doe,doe,doe is a female rabbit called,12
1774,factoid,What does HTML stand for?,hyper\s?text markup language,hypertext markup language,hypertext markup language does HTML stand for,182
10007,factoid,In what city the first nuclear bomb exploded?,Hiroshima,Hiroshima,Hiroshima  city the first nuclear bomb exploded,98
2230,factoid,What dam is said the be the largest hydroelectric station in the world?,Three Gorges|Itaipu,Itaipu,Itaipu  dam is said the be the largest hydroelectric station in the world,58
2276,factoid,When was Mariah Carey born?,March 27|1969|1970,1970,Mariah Carey born  in 1970 ,3
2205,factoid,How many cabinet officers are there?,"\b(14|15|22|23)\b|the executive branch of the federal government of the United States\, who are",23,cabinet officers are there   23 many,7
2354,factoid,How did Anne Frank die?,typhus|concentration camp,typhus,Anne Frank die   typhus ,26
1998,factoid,How old was Babe Ruth when he died?,53,53,Babe Ruth when he died   53 old,0
2155,factoid,What country is home to Sabena Airlines?,Belgi(a|u)(m|n),Belgiam,Belgiam  country is home to Sabena Airlines,66
1833,factoid,How tall is Mike Tyson?,"5\s*(f(ee|oo)?t|')\s*10\s*(in(ch.*)?|"")|1\.78|178 cm tall",1.78,Mike Tyson is  1.78 tall,0
2371,factoid,What type of bee drills holes in wood?,carpenter,carpenter,carpenter  type of bee drills holes in wood,29
1467,factoid,What year did South Dakota become a state?,1889,1889,1889  year did South Dakota become a state,114
1579,factoid,Which country exports the most tea?,Sri Lanka|India|Kenya,India,India  country exports the most tea,49
2145,factoid,What does a theodolite measure?,angle,angle,angle does a theodolite measure,73
2032,factoid,What sporting event first took place in 1903?,Tour de France,Tour de France,Tour de France  sporting event first took place in 1903,115
1718,factoid,When was the White House built?,1(792|800),1800,the White House built  in 1800 ,8
1635,factoid,What is the name of the famous dogsledding race held each year in Alaska?,Iditarod,Iditarod,Iditarod is the name of the famous dogsledding race held each year in Alaska,61
1450,factoid,Which U.S. state is the leading corn producer?,Iowa,Iowa,Iowa  U.S. state is the leading corn producer,8
1536,factoid,What city is Lake Washington by?,Seattle,Seattle,Seattle  city is Lake Washington by,14
1482,factoid,"What county is Wilmington, Delaware in?",New Castle,New Castle,New Castle  Delaware in,0
1533,factoid,"Who directed the film ""Fail Safe""?",Sidney Lumet,Sidney Lumet,Sidney Lumet  directed the film `` Fail Safe '',78
1914,factoid,What city is the home to the Rock and Roll Hall of Fame?,Cleveland,Cleveland,Cleveland  city is the home to the Rock and Roll Hall of Fame,33
2223,factoid,When was the first practical camera invented?,1839,1839,the first practical camera invented  in 1839 ,37
2026,factoid,When was the first Olympics held?,776 BC|-776|1896,-776,the first Olympics held  in -776 ,20
2255,factoid,"How do you say ""I love you"" in French?",je t'aime,je t'aime,do you say `` I love you '' in French   je t'aime ,5
10037,factoid,When was the first commercially successful steam engine invented?,1698|1712,1712,the first commercially successful steam engine invented  in 1712 ,5
10059,factoid,how long is the day?,"24\s*h|86,?400\s*s",24 h,the day is  24 h long,0
1683,factoid,What name is horror actor William Henry Pratt better known by?,Boris Karloff,Boris Karloff,Boris Karloff  name is horror actor William Henry Pratt better known by,25
1621,factoid,What is the name of the country in the Pyrenees mountains between France and Spain?,Andorra,Andorra,Andorra is the name of the country in the Pyrenees mountains between France and Spain,38
2390,factoid,What ancient tribe of Mexico left behind huge stone heads?,Olmecs?,Olmec,Olmec  ancient tribe of Mexico left behind huge stone heads,25
2104,factoid,When was the first submarine not using human-powered propulsion invented?,July 1863|1914|1863,1914,the first submarine not using human-powered propulsion invented  in 1914 ,26
1556,factoid,What cemetery is Thurgood Marshall buried in?,Arlington,Arlington,Arlington  cemetery is Thurgood Marshall buried in,0
1547,factoid,What is the atomic number of uranium?,92,92,92 is the atomic number of uranium,4
10052,factoid,What is the chemical formula of methane?,C.*H.*4,C  H  4,C  H  4 is the chemical formula of methane,1
2052,factoid,"What county is San Antonio, Texas in?",Bexar,Bexar,Bexar  Texas in,14
1871,factoid,How much gravity exists on Mars?,third|38\s*(%|percent)|3.711.*m/s|0.376\s*g,third,gravity exists on Mars   third much,6
1444,factoid,What female leader succeeded Ferdinand Marcos as president of the Philippines?,Corazon Aquino,Corazon Aquino,Corazon Aquino  female leader succeeded Ferdinand Marcos as president of the Philippines,14
2376,factoid,What color belt is first in karate?,white,white,white  color belt is first in karate,1
1528,factoid,Where did Kublai Khan live?,Beijing|China,Beijing,Kublai Khan live  in Beijing ,11
1442,factoid,What is the chemical formula for sulphur dioxide?,SO2|the chemical compound,the chemical compound,the chemical compound is the chemical formula for sulphur dioxide,10
1565,factoid,What is Karl Malone's nickname?,The Mailman,The Mailman,The Mailman is Karl Malone 's nickname,0
1830,factoid,What city does the Tour de France end in?,Paris,Paris,Paris  city does the Tour de France end in,18
1419,factoid,What year did Alaska become a state?,1958|1959,1959,1959  year did Alaska become a state,104
1782,factoid,Who was the first woman to run for president?,Pamfilova|Victoria Woodhull|Woodhull,Woodhull,Woodhull  was the first woman to run for president,24
2028,factoid,What are the biggest snakes in the world?,anaconda|reticulated python|titanoboa|Gigantophis|Burmese python,titanoboa,titanoboa  are the biggest snakes in the world,7
1994,factoid,What was the Beatles' first number one hit?,Please Please Me|From Me To You,Please Please Me,Please Please Me  was the Beatles ' first number one hit,7
1681,factoid,When did Houdini die?,1926,1926,Houdini die  in 1926 ,14
10023,factoid,What is the density of water?,"\b(1|0\.9.*)\s*g|\b(1,?000|9.*)\s*kg|cubic centimeter|approximately one gram",1 g,1 g is the density of water,21
1418,factoid,When was the Rosenberg trial?,1951|1953|May 12,1953,the Rosenberg trial  in 1953 ,4
1560,factoid,What was Denzel Washington's first television series?,St. Elsewhere,St; Elsewhere,St; Elsewhere  was Denzel Washington 's first television series,5
1836,factoid,"What river runs through Rome, Italy?",Tiber,Tiber,Tiber  Italy,2
1427,factoid,What was the first spaceship on the moon?,Eagle,Eagle,Eagle  was the first spaceship on the moon,1
2066,factoid,What is tequila made from?,agave,agave,agave is tequila made from,42
1688,factoid,What year was the gateway arch built?,1965|1963,1965,1965  year was the gateway arch built,0
1411,factoid,What Spanish explorer discovered the Mississippi River?,Hernando de Soto,Hernando de Soto,Hernando de Soto  Spanish explorer discovered the Mississippi River,39
1811,factoid,When was penicillin first used?,"194(0s|1|2|7)|1943|But it was not until 1928 that penicillin\, the first true antibiotic\, was discovered by Alexander Fleming\, Professor of Bacteriology at St\. Mary\'s Hospital in London\.",1941,penicillin first used  in 1941 ,10
2133,factoid,When was Abraham Lincoln born?,1809.*?,1809   ,Abraham Lincoln born  in 1809    ,4
1662,factoid,When was Jerusalem invaded by the general Titus?,70 A.D.|70\s*AD|AD\s*70|A.D.\s*70|70,70,Jerusalem invaded by the general Titus  in 70 ,62
1821,factoid,Who was the architect who designed the Empire State Building?,Lamb,Lamb,Lamb  designed the Empire State Building,7
2000,factoid,How many Earth days does it take for Mars to orbit the sun?,68[67],687,days does it take for Mars to orbit the sun   687 Earth,65
2261,factoid,What college did Magic Johnson go to?,Michigan State,Michigan State,Michigan State  college did Magic Johnson go to,0
1652,factoid,When did the United States enter World War II?,1941,1941,the United States enter World War II  in 1941 ,38
1874,factoid,When was the battle of Shiloh?,1862,1862,the battle of Shiloh  in 1862 ,6
1570,factoid,What is the legal age to vote in Argentina?,18,18,18 is the legal age to vote in Argentina,2
1991,factoid,How did Minnesota get its name?,Sioux.*river|river.*Sioux,Sioux  river river  Sioux,Minnesota get its name   Sioux  river river  Sioux ,42
1839,factoid,What country was formed in 1948?,Burma|Israel|Myanmar,Burma,Burma  country was formed in 1948,73
1397,factoid,What was the largest crowd to ever come see Michael Jordan?,"62,?046","62,046","62,046  was the largest crowd to ever come see Michael Jordan",4
1414,factoid,What was the length of the  Wright brothers' first flight?,120\s?\-?\s?f(ee|oo)?t|852 feet,120 foot,120 foot  was the length of the Wright brothers ' first flight,25
2315,factoid,How many tentacles do squids actually have?,two|\b2\b,two,tentacles do squids actually have   two many,6
1645,factoid,How much is the international space stations expected to cost?,\$ 95 billion|\$60 billion|about \$ 50 billion|more than 100 billion dollar|150\s*(billion|bn)|\$100,$ 95 billion,the international space stations expected to cost is  $ 95 billion much,0
2131,factoid,Who was the first African-American speaker of the California State Assembly?,Brown,Brown,Brown  was the first African-American speaker of the California State Assembly,4
1736,factoid,Where on the body would you find the jowls?,cheek|Face,cheek,on the body would you find the jowls  in cheek ,13
1477,factoid,What are wavelengths of visible light measured in?,angstrom|nanometers|^nm,nm,nm  are wavelengths of visible light measured in,19
1824,factoid,Which planet did the spacecraft Magellan enable scientists to research extensively?,Venus,Venus,Venus  planet did the spacecraft Magellan enable scientists to research extensively,57
1855,factoid,How fast is the world spinning?,"1,?0[34][0-9]\s*(miles per hour|mph)|1,?6[67][0-9]\s*(kilometers per hour|km.*h)","1,661 kilometers per hour","fast is the world spinning   1,661 kilometers per hour ",0
2136,factoid,How many moons does Neptune have?,eight|\b8\b|14,eight,moons does Neptune have   eight many,14
1576,factoid,What galaxy is closest to the milky way?,Andromeda,Andromeda,Andromeda  galaxy is closest to the milky way,0
1595,factoid,What person developed COBOL?,Hopper,Hopper,Hopper  person developed COBOL,21
2122,factoid,What is the inner peel of an orange called?,pith,pith,pith is the inner peel of an orange called,17
1781,factoid,"What year did ""Snow White"" come out?",1937,1937,1937  year did `` Snow White '' come out,0
1784,factoid,What is the scientific name for leech?,Hirudo medicinalis|Hirudo,Hirudo,Hirudo is the scientific name for leech,6
2165,factoid,What date was the Declaration of Independence signed on?,"Aug. 2, 1776|July 4.*?1776|July 4",July 4,July 4  date was the Declaration of Independence signed on,31
1637,factoid,What is the name of the five pointed star commonly used by Satanists?,baphomet|pentagrams?|The five point star,baphomet,baphomet is the name of the five pointed star commonly used by Satanists,1
1447,factoid,What is the capital of Syria?,Damascus,Damascus,Damascus is the capital of Syria,90
1531,factoid,What does NASDAQ stand for?,National Association of Securities Dealers Automated Quotations?,National Association of Securities Dealers Automated Quotations,National Association of Securities Dealers Automated Quotations does NASDAQ stand for,28
10090,factoid,when did vikings colonize greenland?,\b98[0-9]\b|10th century,987,vikings colonize greenland  in 987 ,1
2391,factoid,What president created social security?,Roosevelt|FDR,FDR,FDR  president created social security,52
1480,factoid,What is the principle port in Ecuador?,Guayaquil,Guayaquil,Guayaquil is the principle port in Ecuador,43
2195,factoid,When was Ronald Reagan shot?,1981,1981,Ronald Reagan shot  in 1981 ,3
1488,factoid,"What is the name of the professional baseball team in Myrtle Beach, South Carolina?",Pelicans,Pelicans,Pelicans is South Carolina,0
2252,factoid,What apostle was crucified?,Peter,Peter,Peter  apostle was crucified,8
1583,factoid,What is the text of an opera called?,libretto,libretto,libretto is the text of an opera called,85
10041,factoid,Where was the first of the International Mathematical Olympiads held?,Romania,Romania,the first of the International Mathematical Olympiads held  in Romania ,27
1716,factoid,Who was the first Triple Crown Winner?,Sir Barton,Sir Barton,Sir Barton  was the first Triple Crown Winner,6
1969,factoid,What does ACLU stand for?,American Civil Liberties Union,American Civil Liberties Union,American Civil Liberties Union does ACLU stand for,475
2127,factoid,What country did Panama gain its independence from?,Colombia,Colombia,Colombia  country did Panama gain its independence from,105
1609,factoid,What is the currency of Bolivia called?,BOB|boliviano,BOB,BOB is the currency of Bolivia called,24
2337,factoid,How did Joseph Smith die?,mob|assassin|lynch|shoo?t|Murder|Firearm,shoot,Joseph Smith die   shoot ,18
2129,factoid,"How many home runs did Henry ""Hank"" Aaron hit in his major league career?",755,755,home runs did Henry `` Hank '' Aaron hit in his major league career   755 many,63
1742,factoid,When did the Mesozoic period end?,6[56] million years ago,66 million years ago,the Mesozoic period end  in 66 million years ago ,8
1606,factoid,What is the boiling point of water?,212\s*(.|degrees?)\s*F|100\s*(.|degrees?)\s*C|100 o|101\.325,100 degrees C,100 degrees C is the boiling point of water,11
2152,factoid,When was the Great Wall of China built?,"2,?000 years ago|7th century BC|6.. BC|2[0-2]. BC|Ming",7th century BC,the Great Wall of China built  in 7th century BC ,43
2102,factoid,What American landmark stands on Liberty Island?,Statue of Liberty,Statue of Liberty,Statue of Liberty  American landmark stands on Liberty Island,61
2289,factoid,What continent is Togo on?,African?,Africa,Africa  continent is Togo on,0
10071,factoid,"what is the answer to ultimate question of life, universe and everything?",\b42\b|fourty-two,42,42 is universe and everything,7
1956,factoid,What country is the largest in square miles?,Russia,Russia,Russia  country is the largest in square miles,0
1983,factoid,When was Lyndon B. Johnson president?,1963.*69,1963  69,Lyndon B. Johnson president  in 1963  69 ,55
1916,factoid,What city did Duke Ellington live in?,New York|Washington|North Carolina,New York,New York  city did Duke Ellington live in,19
1859,factoid,What branch of the military has its academy in Annapolis?,Nav(al|y),Navy,Navy  branch of the military has its academy in Annapolis,180
1700,factoid,Where is America's Stonehenge?,"Mystery Hill|N.H.|Salem(, New Hampshire)?|South of Manchester",Salem,America 's Stonehenge is in Salem ,2
2295,factoid,What 1857 U.S. Supreme Court decision denied that blacks were citizens?,Dred Scott|Supreme Court,Supreme Court,Supreme Court  1857 U.S. Supreme Court decision denied that blacks were citizens,8
1713,factoid,What is the name of the phobia for number 13?,Triskaidekaphobia,Triskaidekaphobia,Triskaidekaphobia is the name of the phobia for number 13,9
1856,factoid,What city is known as the rubber capital of the world?,"Akron,?","Akron,","Akron,  city is known as the rubber capital of the world",15
2121,factoid,"What artist recorded the song ""At Last"" in the 40's or 50's?",Etta James,Etta James,Etta James  artist recorded the song `` At Last '' in the 40 's or 50 's,16
10057,factoid,how long are spaghetti?,"(25|30|50)\s*c(enti)?m|(10|12|20)\s*(""|in)",30 centim,are spaghetti   30 centim long,4
1615,factoid,What is Africa's largest country?,Sudan|Algeria|Nigeria,Algeria,Algeria is Africa 's largest country,79
10099,factoid,who are the inventors of the first transistor?,((Bardeen|Shockley|Brattain).*){3}|Bardeen|Shockley|Brattain,Brattain,Brattain  are the inventors of the first transistor,21
10010,factoid,What currency is used in Christiania?,L[oø]n,Lon,Lon  currency is used in Christiania,0
1911,factoid,What is the name of the chart that tells you the symbol for all chemical elements?,periodic (table|chart),periodic table,periodic table  tells you the symbol for all chemical elements,43
10094,factoid,"where was jesus born?,",Bethlehem,Bethlehem,jesus born  in Bethlehem ,6
10109,factoid,who wrote ender's game?,Orson.*Card,Orson  Card,Orson  Card  wrote ender 's game,21
1496,factoid,What country is Berlin in?,Germany,Germany,Germany  country is Berlin in,107
1464,factoid,"Who is the detective on ""Diagnosis Murder""?",Steve Sloan,Steve Sloan,Steve Sloan is the detective on `` Diagnosis Murder '',10
1640,factoid,Who founded Taoism?,Lao\s*-?\s*T[zs][ue]|Laozi,Laozi,Laozi  founded Taoism,24
1843,factoid,In what month are the most babies born?,July|August|September,July,July  month are the most babies born,5
1669,factoid,How tall is Mount McKinley?,"20\s?,?\s?(32|40)0\s?-?\s?f(ee|oo)t|6,194-meter|20,?237\s*f(oo|ee)?t|20,?073\s*f(oo|ee)?t|6,?168\s*m|6,118\s*m|6\,194 m|20\,322 feet",20237 ft,Mount McKinley is  20237 ft tall,50
2388,factoid,what Arthur Miller play recounts his marriage to Marilyn Monroe?,After the Fall|Finishing the Play,After the Fall,After the Fall  Arthur Miller play recounts his marriage to Marilyn Monroe,15
1544,factoid,What is the most populated country in the world?,China,China,China is the most populated country in the world,151
1783,factoid,What country are Volvo automobiles made in?,Sweden,Sweden,Sweden  country are Volvo automobiles made in,8
2193,factoid,How many feet above sea level is Jerusalem?,"\b2,?[4567][0-9][0-9]\b",2689,feet above sea level is Jerusalem   2689 many,39
2297,factoid,What is Britney Spears' middle name?,Jean,Jean,Jean is Britney Spears ' middle name,11
1787,factoid,What is David Lee Roth's birthday?,Oct(.|ober)?\s* 10|1954,1954,1954 is David Lee Roth 's birthday,0
2383,factoid,How did Jerry Garcia Die?,drug abuse|heart attack,drug abuse,Jerry Garcia Die   drug abuse ,1
2312,factoid,How many republics made up the Soviet Union?,\b15\b|fifteen|Soviet,Soviet,republics made up the Soviet Union   Soviet many,47
1679,factoid,What is the diameter of the moon?,"2,159 miles|3,?474(.2[0-9]*)?\s*m|3\,474 km|2\,159\.2 miles","2,159.2 miles","2,159.2 miles is the diameter of the moon",13
2225,factoid,What modern country is home to the ancient city of Babylon?,Iraq,Iraq,Iraq  modern country is home to the ancient city of Babylon,20
2190,factoid,What country is Hyundai from?,Republic of Korea|South Korea,Republic of Korea,Republic of Korea  country is Hyundai from,60
1922,factoid,How fast is an eye blink?,\.(03|[1-4].*)\s*s(econds)?|0.[1-4].*(ms|milliseconds),0!26Q$A[m:tUsmilliseconds,fast is an eye blink   0!26Q$A[m:tUsmilliseconds ,40
1554,factoid,What is the scientific name for tobacco?,Nicotiana alata|Nicotiana tabacum|Nicotiana rustica,Nicotiana rustica,Nicotiana rustica is the scientific name for tobacco,8
2050,factoid,What dissolves gold?,cyanide|aqua regia|hydrochloric.*nitrid|HCl.*HNO3,cyanide aqua regia hydrochloric  nitrid HCl  HNO3,cyanide aqua regia hydrochloric  nitrid HCl  HNO3 dissolves gold,5
1665,factoid,When did Marian Anderson sing at the Lincoln Memorial?,1939,1939,Marian Anderson sing at the Lincoln Memorial  in 1939 ,6
10032,factoid,When is christmas?,Dec.*\b2[45]\b,Dec   b2 45  b,christmas is in Dec   b2 45  b ,36
1884,factoid,Where is the Sea of Tranquility?,moon,moon,the Sea of Tranquility is in moon ,3
2216,factoid,How did Dennis Brown die?,pneumo|lung,lung,Dennis Brown die   lung ,19
2141,factoid,How many justices does the United States Supreme Court have?,nine|\b9\b,9,justices does the United States Supreme Court have   9 many,82
1962,factoid,"What country is know as the ""Land of the Rising Sun""?",Japan,Japan,Japan  country is know as the `` Land of the Rising Sun '',130
