stars,advantage,drawback,text
4,"Придбала лише вчора, поки що не бачу, загалом все чудово)",Пристрій нагрівається при використанні 3G мережі,"Підкажіть, за можливості, як уникнути нагрівання? Здебільшого користуюся саме інтернетом 3G, важливо знати"
5,Багато,"Гріється при користуванні 3G інтернетом, при користуванні wi-fi - ні","В налаштуваннях "" Заплановане оновлення ПЗ"" ( вимкнено), а навпроти ""Зав. файли оновл. вручну"" показує 1 і увесь час висвічується і просить оновлення. Підкажіть, будь ласка, як його зупинити і вимкнути. Оновлювати не хочу почала, але зупинила. Наперед дякую."
4,Багато,"При користуванні 3G сильно гріється, при wi- fi - ні","Чи варто оновлювати програмне забеспечення? Висвічується увесь час значок оновити, як його виключити"
1,нема,"Перегрів і батерея, слабий сигнал!","Дуже грається ( особливо при користуванні навігатором і при максимальні яркості екрана) і швидко сідає батерея, при нагріванні глюче, телефоном не довольний!"
5,Екран. Батарея. Камера. Швидкість.,Не виявлено,"Купила. Користуюся вже 2 день. Ми вже всією родиною перейшли на ""самсунги"". Телефон коштує свого . Дуже задоволена."
5,Все супер,Немає,У мене j5 2016 буде android 7.0 на дану модель
5,"Батарея, камера",За місяць користування не замітив,Коштує своїх грошей
5,БАГАТО))),Немає (для мене),"Телефон просто бомба ,камера ,динамік ,екран все на вищому рівні ,до цього був Galaxy Gio S5660 ,так він чесно відпахав 5 років ,ось і поспіла йому заміна ,якість корпусу як і завжди на висоті ,заряд тримає довго ,загалом одні плюси (а хто схоче знайти недоліки той знайде їх у будь чому)"
5,"Камера, батарея, екран ,швидкість роботи короче все",Немає,Підкажіть будь ласка мені в чому різниця j510H між j510FN ?А про сам телефон: він супер в моєї жінки такий всім довольна недоліків немає.
5,"Камера, акумулятор, екран","можливо це --- розмір апарату? але є A3, але ціни не однакові(((","Шукав заміну J500. Мав бути тілики Самсунг, так як користують ними з 2004....сила привички бере своє(банальна кнопка розблокування завжди була і..буде на своєму місці..і такі всі інші заморочки. інтерфейс понятний як на j320 так і на S7? привикається за 1 годину"
3,"Екран, андроид 6.0.1.","батерея тримає 1 день (6 год. роботи екрана) не знаю чого при такій батереї в 3100 тримає та мало, при розблокувані екрана є затримки на 2 сек. но це буває раз вдень може бути раз в 2 дня неприємно але факт. старий процесор дає про себе знати при відкривані додатків (приложений) є деякі затримки, игри: асвальт 8 иде на максимальних но е деякі підвисання в меню самої игри, NFS no limit йде на низьких виходячи яка графіка на екрані (підвисання в меню ігри), танки на низьких настойках 25-32 fps. Динамік не дуже голосний навіть на моєму старому s3 mini звук по краще.","Сам телефон красивий, великий екран, андроид 6.0.1 в меню телефона підвисання не помітив за місяць використання з недоліків старий процесор і начинка, тихий динамік відсутність NFC, камера так собі. Надіюсь може оновлення виправлят недоліки в даному телефоні"
4,"Швидкодія, екран, камери, батарея, дизайн, зв'язок.","Те, що можна пережити: немає вібро екрану, немає світлового індикатора, динамік на задній панелі, короткий шнур зарядного.","Користуюсь телефоном ще з липня 2016 року :). Телефон чудовий: швидкий, дуже якісний екран, яскраві кольори, дуже хороші камери, мало які телефони зрівняються. Батарея тримає відносно довго, якщо не бавитись то протримає 3 дня, з іграми та інтернетом до 2 діб. Хороший пластик корпусу, гарний дизайн, тонкі лінії, металева рамка. Дуже подобається фірмовий інтерфейс від Samsung - TouchWiz, зручний і доступний, нічого зайвого + Android 6.0.1. Надзвичайно голосний динамік телефону при розмові - чіткий звук. Без проблем працюють Wi-Fi та Bluetooth.Звичайно великим плюсом є не литий корпус та зйомна батарея. Окремі слоти для обох сім карт та карти пам'яті.Samsung робить якісні штуки:) Загалом задоволена телефоном. А тепер трохи про недоліки. В першу чергу те, що мені не сподобалось - це відсутність зворотнього зв'язку з телефоном, тобто вібро екрану при дотику, а також така примітивна річ як індикатор пропущених подій, його просто немає((( на жаль... цього не вистачає. Динамік на задній панелі приглушує звук лежачи вниз, який в свою чергу є і так не надто голосним, хоча якісним. При великих об'ємах трафіку в інтернеті трохи тормозить.Дуже короткий шнур зарядного, якщо поміняти його на довший, телефон заряджатиметься в 1,5 рази довше."
5,Акамулятор,Не найшов,Купляв не тут.Телефон вартує своїх коштів. Екран яркий. Заряжається швидко. Батарея тримає до двох діб. Камера чудова. Користуюсь місяць
5,"Практичний у користуванні, поміщає багато інформації",Не помічав,"купив, користуюся пів року. Ще не підводив"
5,,,Все добре. Навіть перераховувати не буду. Але чомусь ні одна програма не бачить датчик холла
5,Крутий гаджет,Нема,"Телефончик приємний. Класний. Зручний і багатофункціональний. Швидкий, не тупить. Суперовий подарунок на Новий Рік. Камера хороша."
5,Швидкість. Пам'ять.,Камера при 13 мп то слабенька. І звук слабкий максимальний,"Телефон супер. Так як для жінки він чудовий. Телефон літає.Питання: зберігаю фото з соц.мережі вконтакті пише завантаження завершене, а фото в галареї нема. Де їх шукати?"
5,"Екран,батарея,швидкість,камера.","Трохи погана камера,акумулятор при довгому гранні ігор.","Купляв не тут але розкажу:Для початку Швидкість:Все грузить без проблем і смарт менеджер топчик,а якшо скачати програми для оптимізування то нема слів.Ігри круто йдуть не глючать (Asphalt 8,Unkilled,Dead Trigger).Камера:непогана камера,хоча я не фоткаю багато але фото виходять кращі ніж у j5 (2015).Екран:Великий,гарні кольори і все чудово.Яркість дуже світла.Хватає середньої.АЛЕ є мінус.При різкому русі все стає не чітко.Хоча цей телефон середнього сегменту,він дуже чудовий.Зарядка тримає добре але при іграх розряджається так як всі.Раджу до покупки.Телефон чудовий>ціна."
5,Відомий бренд,Трохи дорогувато,"Купляв в подарок дочці. Вона задоволена,решта не має значення"
5,"Екран ,процесор ,пам'ять ,камера, зовнішній вигляд...",Немає !!!!!,"Дуже задоволений даним телефоном !!! Він зручний у користуванні , швидкий , якісно зроблений."
5,Хочу купити 100%,,Чи хоча б трошки камера краща в телефоні j 5 2016 р ніж в j 5 2015р випуску ?
5,,,Телефон отлічний беріть не пожалеете.
5,,Недумаю що це недостаток але невидно яка мережа доступна чи є 3g чи немає,Потрібно щоб компанія самсунг зробила нове оновлення..тому що невидно чи доступна мережа 3g....видно тоді коли лише підключити інтернет!
4,Батерея,Пластикова задня кришка,"Телефон нормальний троха нагрівається під час користування але, терпимо фотографії робить супер"
5,"Андроїд6,обидві камери батарея!",Не знайшов.,"Користуюсь j5 три місяці. Андроїд 6 був з коробки. Єдине нарікання-звук, точніше його гучність. Але сьогодні прийшло оновлення 270 мб. Через 40хвилин оновлення,перевірив все що зміг і був приємно здивований. Гучність стала нормальною(як на мене). Батарея! Тримає 3-4 дня! Правда я в тяжкі іграшки не граю. Старий Самсунг s4 часом до вечора не доживав,а цей прямо батарейкофон."
5,Все якісно.,Не знайшов.,"Дуже зручний, яскравий, швидкий. В руці лежить дуже зручно, відчувається стиль та подчерк бренда."
4,"хороший екран, шикарна акумулятор, добре сидить в руках, не глючить.","хоч і не глючить, але могли залізо і по могутніше поставити. немає NFS and LTE-но це проблеми до фірми сумісного так і в основному до магазинів як наприклад розетка.","Мій телефон не лага, батарею тримає 3 дні при дзвінках і зрідка поютабить, погуглити, погратися, по фоткати. при середніх навантаженнях 2-2,5 днів. мінімум він вам проживе 1,5 дня при повній навантаження (без урахування максимальну безперервну навантаження). - Це основне. жалію тільки об том, що немає NFS. Дуже раджу купувати рідний чохол книжка."
3,"економний дисплей, ємка батарея, автономність на висоті","слабкий процесор, дуже делікатний оботок, пошкоджується в перші ж дні, трохи гріється в межах терпимого","майже ніяких нарікань, немає передвстановленого плеєра для музики, і процесор виявився дуже слабким, впринципі гнався за автономністю, відповідно в цьому аспекті програв, з радістю поміняв би на j7, всі достоїнства плюс серйозніший процесор"
5,,,чи є навушники в комплекті Samsung Galaxy J5 2016
5,Те що в характеристиках - правда,за 2 тижні не виявив,"В магазині дивився J5 (2015). У нього розмір 5"". Після свого драндулета 3,5"" було дико, але хлопці сказали звикнеш. У цієї моделі розмір 5,2"".різниця я вам скажу шалена. За два тижні так і не звик, хоча думаю все буде добре. Екран - супер, батарея за 5 годин в літаку перегляду серіалу на 30% яскравості екрану втратила 36%. Андроїд 6 додатковий плюс. Задоволений на 100% даним смартфоном. Дуже дякую співробітникам ""розетки"" за консультацію та оперативність."
4,"Швидкий, стильний",Сильно гріється!,"Все було б нічого, якби так сильно не грівся! Не знаю, що це, сподіваюсь - це не вплине на роботу смартфону."
4,"Дисплей,батарея",сильный перенагрев,"Телефон брав не тут але мені дуже сподобався все літає дисплей на висоті ,батарея трохи слабовата але при активному користуванні хватає на день а в змішаному на півтора ,два дні ,спочатку дуже грівся при просмотрі відео в 720 а через днів 4,5 став грітися меньше не знаю чому так .Телефон стоїть своїх грошей беріть не пожалкуете .А якщо хватає грошей беріть j7 2016 трохи кращий"
4,"Андроід 6.Екран, камера, батарея, можливість додткових налаштувань","Звук без наушників, ціна зависока.","Вибирав між azus zenfone max, Motorola G і цим. Купив самсунг j5 2016. Андроід 6 був з коробки. Сподобався екран, хоть і 1280*780 але пікселів не побачив. Є режим ""на вулиці"", провірив-видно все. Багато потрібних примочок і налаштувань яких немає на андроїд 5. Сподобалась функція допуску додатків. Батарея тримає 1,5-2 дні, головне правильно налаштувати допуски і енергозберігання. Фронтальна камера на 13 мгп знімає краще ніж мій попередник галакси s4. Звук у навушниках чудовий, а ось без них не дуже. Меломанам навряд чи сподобається. Провірив-видно добре. Ігри. Асвальт8 і танки йд уть на середніх настройках номально і без лагів. Мережі зв'язку і Вай-фай-інтер ловить там де мій планшет (андроід5) показує відсутність."
1,,,"Телефон попрацював 2 місяці, потім почала пропадати мережа і неможливо додзвонитись, це вже друга проблемна нокія яку беру для бабці, попередня схожа стала виключатись через місяць. Зпочатку також був задоволений як і більшість коментаторів тут на сайті, але теперішні нокії живуть не довго"
5,Надійний!,Невиявив.,Робоча трубка.
5,"Зручний для дзвінків, вибір карти для дзвінка","немає, це ж не сенсор","Простий, гарний, надійний телефон. Уже більше 2-х років користування. 2 сім-карти - це бонус+ по дзвінкам."
1,,,"Софт під телефон писали першокурсники. не зміг знайти ні налаштування гучності ні налаштування якрності дисплею. І загалом все якось нелогічно. Чайна в поганому сенсі слова. Повертати його впадло, все таки не дорогий."
5,"ціна, корпус",не виявлено,"#мояраспаковкаТелефон зазнав кількох важливих змін в порівняні відносно свого попередника: зручніший корпус, нова клавіатура зі зручними роздільними кнопками, покращений дисплей QQVGA. #моєрозпакування"
5,"Підсвітка кнопок, кнопки великого розміру",,"Треба був простий телефон, цей сподобався найбільше."
5,Зручність у використанніАвтономність Ціна,Корпус,"#мояраспаковкаДаний телефон мабуть найкращий представник бюджетного цінового діапазону. У ньому є міцний акумулятор, непоганий дисплей, гучний звук динаміків, а також підтримка 2х сім карт і ліхтарик."
4,,Подряпини на екрані з'явилися вже на перший день користування,Чудовий телефон. Все працює!
5,,,"Якісний, зручний, функціональний телеяон"
3,,,"Купила мамі і вона щось наклацала, що в неї пропав звук під час розмови, можливо розмовляти тільки на гучномовці.Допоможіть...як виправити??"
3,,,"Не включається ніяк 4g, вставляю картку в інший телефон все працює. Також ІЧ порт не можливо включити. Віджети не ставляться на екран (хоча це дрібниця - але шкода).Сам по собі телефон класний, особливо камера, швидкий, але батарея швидко сідає. Напевно всі проблеми можна було б вирішити хорошою прошивкою, але її напевно годі чекати, компанія банкрут. Можливо хтось вирішив ці проблеми, допоможіть не хочеться відправляти в сервісний центр."
5,Камера,Поки немає,"Підкажіть будь ласка, хто зтикався!! Не можу оновити або скачати ігри на телефон через плей маркет! Коли нажимаю обновить, то пише що очікується. І так може бути хв 15! В чому причина?"
4,Телефон супер,Практически нету,"100к в антутуту, камера за эту цену просто отпад."
5,,,а є оплата частинами
4,Подвійна камера,Процесор helio,"Хтось вже купував телефон? Як він в користуванні,а особливо камери?"
4,,,"Питання до представників. Хочу купити собі такий смартфон, дивився його і насторожило те, що на екрані були присутні сенсорні кнопки(додому, назад, згорнути). Питання чи це не підробка якась?і чи гріється смартфон, коли сидиш в соцмережах, дивишся фільми в HD і т.д. , чи не з'являються п'ятна на екрані....."
5,Все в цьому смерті класне.,Для мене немає!,"Користуюсь майже місяць. Швидкість роботи смарта дуже хороша, від камери взагалі в захваті і я, і ті хто бачать фото. Дивилася відео про цей смарт перед покупкою казали що камера повільно запускається з кнопки блокування і запис звуку на відео має металевий призвук у мене ж все в порядку камера достатньо швидко запускається і звук причудовий як в наушниках так і без них. Динамік гучний і в гарнітури гучно на всю не вмикаю бо для мене то занадто. Продається апарат з Андроїд 7 та вже вийшли обнови і наразі я на 8му ""андрюші"". За таку ціну апарат космос. Рекомендую."
5,"Швидкість роботи, немае зайвого тому що android ONE, камера чудово працює, особливо портретна зйомка.",Для себе не виявив.,За свою ціну чудовий апарат.
3,"Дизайн, габарити, камера, батарєя, екран!",Погано ловить зв'язок!,"Не знаю чи у когось таке є, але він погано ловить зв'язок! В мене в квартирі деякі телефони погано ловлять і цей не став виключенням! До цього був Мі 4с так він ловив набагато краще, а ще якщо перезагрузити його чи вимкнути перестає бачити сім карту! У всьому іншому телефон чудовий камера хороша, як для класа телефону! Батареї на день вистачає і це добре - це ж не батареєфон! Екран чудовий, дизайн теж, в іграх особливо не гріється і тротлінг теж не помічаний! Можливо у мене брак, хотів його поміняти але знайшли маленьку царапіну на корпусі знизу, хоч він і не падав! Сказали обміну не підлягає тільки ремонт!"
5,"- регулярні оновлення ПЗ , за місяць користування вже 3 оновлення. Чекаю на android 8.0 цього року. Хороша камера, багато налаштувань, якісний ,,боке''. Дуже стильний дизайн, тонкий корпус, і т.д...","Явних недоліків немає, трішки слабка батарея. Але якщо не сидіти цілими днями, то повністю вистачає до вечора.","Досить хороший смартфон, за свою ціну найкращий у своєму сегменті."
4,Шустрий. Екран. Звук.,Камера. Батареї замало.,"Купувала не тут. Хороший телефон, картинка, звук, головне шустрий, без тормозів.. Камера хороша, але не більше, в попередньому дешевшому китайці була чіткіше, але терпимо.. Все інше круто."
5,"Легкий, симпатичний, швидкий, фото супер. Подобається Все.",Наразі не виявили.,"Дякуємо. Товар прийшов цілий і неушкоджений. Шкода тільки, що довго чекали. Брали в подарунок доньці, заказали 30.11., а отримали 04.12., довгенько..."
4,,,Доброго дня. Чи буде ще в наявності чорна версія?
5,,,"Коли буде в наявності, коли буде в чороному кольорі?"
5,"Дизайн, збірка, надійність",Якість фото при поганому освітленні,"Купував пів року тому, але не в розетці. Телефон чудовий, зручно тримати як для 5"", металевий корпус приємний на дотик, збірка відмінна - без люфтів і зазорів. Ношу без чохла, тому на корпусі чорного кольору ледь помітні царапини і потертості. ""Глюки"" бувають дуже рідко і обмежуються лише самовільним блокуванням пристрою, після розблокування все працює як належно. За весь час користування таке було максимум 4-5 разів. Екран добре реагує на дотики, touch id спрацьовує швидко. Повного заряду батареї вистачає на 2 дні користування (постійно увімкнений wi-fi і 3g, соц. мережі та ігри близько 2 годин на день, розмови близько 30 хв на день, відтворення музики в навушниках 2 години на день). При поганому освітленні на фото присутня ""зернистість"", але при денному освітенні якість доволі непогана. Загалом враження від телефону тільки хороші, тому рекомендую!"
5,"Кльовий телефон,фунції суперову,камера,звук,память,батарея при вкл. интернета,не сідає швидко!!!",відсутні,Дуже задоволена своїм вибором!!!!!
5,Батарея тримає супер. Швидко працює і сильно не нагрівається,Ще не виявлено,Класний телефон у своїй ціновій категоріїЗа три місяці користування недоліків не виявлено.
4,Все працює на відмііно!,Не виявив,"Телефоном дуже задоволений. За таку ціну, це дуже хороша мобіла, з усіма наворотами. Камера слабувата, але все інше - супер!!! Рекомендую!"
5,"Недорогий, Компактний, Удобний",Немає,рекомендую дуже гарний і файний телефон якщо купити то не пожалкуєте
5,,,"Чудовий телефон, брала в подарунок сину, він в захваті. Дякую за оперативну доставку."
5,Швидко заряджається. Довго тримає заряд. Фронтальна камера супер.,Немає.,"Телефон просто супер замовила 27.12.2017, прийшов 04.01.2018. Користуюсь уже цілий місяць. Недоліків не помічала."
5,Пам'ять. Батарея. Камера.,"Телефон незручний в руці, важкий та скользучий) наклеїла скло і на наступний день телефон впав, скло розбилося та відпало) скло клеїлося тільки по обідку, тому краще купляти скло, яке повністю клеїться на екран)","Загалом телефон сподобався, рекомендую. Користуюсь півтора місяця."
5,Простий у використанні. Батарея добре тримає. Достатньо пам'яті. Ціна,Гучний динамік,"Швидко доставили. Замовляла у вівторок, а уже в суботу отримала. Зразу оновився до останньої версії. Хороша камера. Батарея добре тримає. Купувала для рабочої сімки, тому дуже задоволена вибором. Єдине інструкція по використанню на китайському. При розмові гучний динамік, а зменшити в налаштуваннях не можна, тільки через фунції перепрошивки (так мені сказали)."
4,Все влаштовує,не виявлено,я телефоном повністю задоволений.
4,,,"Телефон чудовий,перед тим був redmi3.В двох випадках виникала одна проблема:часом самі по собі видалялись по декілька контактів як з телефону,так із сімкарти.Відновлення контактів не допомагає.Підскажіть вихід,будь-ласка"
5,"Невисока ціна, тривалість роботи між підзарядками",Не бачить WiFi 5GHz мережі,Прекрасно з цим чохлом https://rozetka.com.ua/ua/21894790/p21894790/
4,"Швидкий, потужний, батарея в змішаному режимі 2 дні","Раз на декілька місяців доводиця поновому зберігати відбиток пальця, інакше не завжди з першого разу розблокується","Чудовий смартфон, користуюсь пів року, працює як з самого початку чудово, так і до цієї пори. За свої гроші просто супер, до цієї миті мав лінійку galaxy s і був сильно проти китайщини, але замовивши не пожалкував, так, не такий сочний екран і ще пару нюансів, але й цінник набагато нижчий, а оболонка miui просто супер зависань і глюків ну просто немає, а батарея, раніше без павербанка з дому не виходив, а зараз забув зо це таке"
4,"Телефон хороший , гарно виглядає,сам автоматично оновився, Батарея тримає в активному користуванні день, якщо тільки дзвонити то 3-4 дні.","Якщо це можна віднести до не достатків, то при наборі букв і цифр часто палець попадає мимо букви яку потрібно, а рядом з нею.Може за рахунок того що пальці великі.",Доставка безкоштовна до самих дверей.Подзвонили вийшов на вулицю перевірив чи працює і забрав. Привезли на 7 день як було заявлено і при тім попав на свята. Дякую Розетці за оперативність.
5,"Ціна, дизайн , прибамбаси",Поки не виявилися,"Як за такі гроші апарат супер , як себе поведе в експлуатації поки не відомо.Але якість виконання на високому рівні. Корпус , дисплей, камера та батарея все як заявлено. Батарея тримає в активному користуванні майже день.Оновлюється автоматично, мови всі присутні."
5,"Якість, ціна.",Трохи поскрипує пластмаска знизу біля зарадного отвору але не критично.,"Телефон гарний, яскравість екрану висока, АКБ триває макимально довго порівняноз іншими смартами."
5,За свої гроші класний телефон,При розмові якщо синьно притуляєш телефон до вуха то автоматично натискаєш на створення нотаток,"Досить хороший телефон, співвідношення ціна/якість,сам користуюсь,заказав сину такий же."
5,,,"Телефон хороший, мені дуже сподобався, недоліків не має."
5,"Батарея, Цена, Сканер отпечатка",,"Телефоном задоволений, за свою ціну один з найкращих. Єдиний мінус це доставка, на складі МістЕкспрес у Франківську телефон знаходився цілий тиждень, і не знати скільки б ще пилився якби я не звернувся в службу підтримки.Хоча з Польщі до України доставили за 2 дні. Думаю новою поштою було б набагато швидше."
5,Xiomi,Net,Китайська версія обновляється?
4,"Великий екран, яскравий, шустрий в роботі, камера, сканер відбитків, розблоковується в шкіряних перчатках, ємність батареї, не зависає, не глючить.",Сильно тихий звук,"Користуюсь двома телефонами Nokia Lumia 630 DS і Redmi Note 4x 3/32, тому буду порівнювати ці два телефони. В Nokia рівно в два рази гучніший зовнішній динамік, в Nokia кращий регулятор звуку під час розмови, екран в Nokia менше царапається(не люблю ці захисні плівки, портять вид). Це єдині плюси Nokia. В решті Redmi виграє, кращий дисплей, кращі кольори, продуктивність, не підвисає, не гріється так як Нокіа."
3,"Камера, звук, кольори дисплея",Неможливісиь переміщення програм на флешку,"Знімаю дві зірочки за те, що програми не можна вручну перемістити на флешку і вони забивають оперативну пам'ять. Наразі не знайшла відповіді, як це вирішити (хто знає - напишіть комент).Хоча сама модель телефона за таку ціну дуже хороша!"
5,Гарний телефон за свої гроші,На даний час не знайшов,"Сьогодні придбав даний телефон, на даний час падає. Хотів запитати а нижні кнопки не підсвучуються? чи в налаштуваннях вмикаються та регулються?"
5,Одні +++++,Ще не замітив,"Замовив 17.12 в м. Хмельницький. Отримав на руки 20.12. Доставка дуже швидка ( хоча читав попередні відгуки, то не надіявся на таку оперативність). Телефон прийшов у відміному стані. Справний.....ще не встиг повністю випробувати. Час покаже який він в експлуатації. За роботу магазину і службу доставки ставлю 5."
4,,,"сенсор тупить. то нажимаеться хаотично, то коли треба не нажимаеться. може через стікло наклеене, стікло з чорними вставками зверху знизу."
5,"Гарний звук, приемний дизайн.",Поки не виявлено,"Купував для подарунку, не користувався"
5,Супер,нема,брав европейський у коробці з ангійськими написами і без перехідника. він прекрасний. за ці гроші це супер пропозиція.
2,Класний телефрн по відношенню ціна якість,БИТИЙ ПІКСЕЛЬ НА ЕКРАНІ,"Прийшов з битим пікселем на екрані. Так як дже потрібен телефон в даний момент було вирішено не здавати назад. Всім решта задоволений, але китайці є китайці(((((("
5,,,"Товар прийшов впродовж вказаного часу, кур'єр доставив особисто в руки. За декілька днів користування недоліків в роботі не помітили. Відповідає заявленим параметрам, швидкий, динамік грає в рази краще ніж у ноутбуці леново за 13тис)) гарні фото і вдень, і вночі. Товариш попросив замовити йому такий же. Це наш перший сяомі, ще поки не докінця розібрались в настройках і функціях, але з чим встигли ознайомитись, за такі гроші все влаштовує!"
5,Ціна / якість,Немає,"Хороша модель з непоганими параметрами за помірну ціну. В перший ж день оновився до MIUI 9. Якихось недоліків не виявлено. Купляйте, не пошкодуєте.."
5,"Стильний, швидкий",поки не виявлено,"Купував не тут, але після айфону 6 16гб. - просто БОМБА. Не очікував що за такі гроші можна придбати такий чудовий пристрій."
4,Шустрий,"Як виявилося екран. Зявилася жовта пляма біля слота, тел не падав.",Напишіть будь ласка куда звертатися по гарантії з телефоном сяомі редмі 4х
5,Усе,у жодному разі,Телефон 10/10.ВЕРСІЯ ПРОШИВКИ МІЖНАРОДНА СТАБІЛЬНА (тобто не китайська якась). І ТЕЛЕФОН ОДРАЗУ ОНОВЛЮЄТЬСЯ ДО ANDROID 7.1.2 !!!
5,"Неплохая камера , как задняя так и фронтальная, много памяти, быстро обрабатывает информацию , нормальный экран , удобная модель, нормально игры тянет.",Пока что не нашел.,Хороший смартфон за свою цену.
5,"Хороша камера, швидко думає, маючи 2 ГБ. оперативної памяті, та 16 ГБ. внутрішньої.","Дисплей тухне, коли починається розмова і щоб в момент розмови щось натиснути на екрані,потрібно постійно натискати клавішу ввімкнення.","Вибрав ACER Z 520, тому що перед цим користувався попередньою моделлю ACER V 370. Маю безпосередню справу з телефонами, тому знаю, що телефони і ноутбуки рідко ламаються, особливо телефони, про свій ACER V 370 можу так і сказати, телефон досі робочий, дарую його своєму брату. ACER Z 520 після розпакування мені сподобався тим, що в нього є функція екрану, режим «Читання», для збереження зору, мені це необхідно, також те, що камера досить хороша, хоч і 8 мп., і швидко думає, маючи 2 ГБ. оперативної памяті, та 16 ГБ. внутрішньої."
5,"виконує все, що має робити і не дратує; стильний вигляд","довго шукала на нього бампер та нову батарею, потребує довгих пальців (завеликий для маленької долоні)","працює в мене вже 2,5 роки і я досі ним дуже задоволена. Навантаження на нього велике: я багато дзвоню, спілкуюся в соцмережах, роздаю з нього інтернет на ноутбук, слухаю аудіо книги, музику, інколи з нього дивлюся фільми. Для жіночої руки він трохи завеликий - важко і тримати однією рукою і щось робити. Але переваг більше. Він стильно виглядає, приємний на дотик і виконує все, що мені потрібно. Тримаю для нього напоготів банку для підзарядки, бо для мого інтенсивного життя його батареї не вистачає. Фотографії гірші ніж у самсунга, наприклад, але в цілому не погані. Добре орієнтується на місцевості (GPS) - я часто користуюся гугл-мапами в дорозі.Пережив декілька падінь на кафель приблизно з метрової висоти."
